route-views.amsix.routeviews.org 8821 80.249.208.12 20 CH ripencc TELEZUG WWZ Telekom AG TELEZUG, CH
route-views.isc.routeviews.org 199524 198.32.176.226 875641 LU ripencc GCORE, LU
route-views.isc.routeviews.org 1280 2001:504:d::1 47 US arin ISC-AS-1280, US
route-views.isc.routeviews.org 6939 2001:504:d::10 137733 US arin HURRICANE, US
route-views.isc.routeviews.org 6762 2001:504:d::46 26095 IT ripencc SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
route-views.isc.routeviews.org 49544 2001:504:d::4:9544:1 68 NL ripencc I3DNET, NL
route-views.isc.routeviews.org 199524 2001:504:d::19:9524:1 140161 LU ripencc GCORE, LU
route-views.kixp.routeviews.org 37578 196.223.21.38 3 KE afrinic Tespok, KE
route-views.kixp.routeviews.org 37704 196.223.21.65 6046 KE afrinic Nairobi-IX-Peering, KE
route-views.kixp.routeviews.org 37704 196.223.21.66 100278 KE afrinic Nairobi-IX-Peering, KE
route-views.kixp.routeviews.org 6939 196.223.21.74 902824 US arin HURRICANE, US
route-views.kixp.routeviews.org 328475 196.223.21.99 24 KE afrinic Afriq-Network-Solutions-AS, KE
route-views.kixp.routeviews.org 37704 2001:43f8:60:1::66 16682 KE afrinic Nairobi-IX-Peering, KE
route-views.kixp.routeviews.org 6939 2001:43f8:60:1::74 137728 US arin HURRICANE, US
route-views.kixp.routeviews.org 328475 2001:43f8:60:1::99 0 KE afrinic Afriq-Network-Solutions-AS, KE
route-views.linx.routeviews.org 47957 195.66.224.12 385618 FR ripencc ING-AS, FR
route-views.linx.routeviews.org 61955 195.66.224.13 583453 DE ripencc COLOCATIONIX-AS, DE
route-views.linx.routeviews.org 6939 195.66.224.21 902816 US arin HURRICANE, US
route-views.linx.routeviews.org 37497 195.66.224.25 875595 ZA afrinic Network-Platforms, ZA
route-views.linx.routeviews.org 5413 195.66.224.29 876106 GB ripencc AS5413, GB
route-views.linx.routeviews.org 6453 195.66.224.51 874203 US arin AS6453, US
route-views.linx.routeviews.org 3292 195.66.224.64 743 DK ripencc TDC TDC AS, DK
route-views.linx.routeviews.org 8426 195.66.224.66 876185 GB ripencc CLARANET-AS ClaraNET LTD, GB
route-views.linx.routeviews.org 5511 195.66.224.83 133970 FR ripencc OPENTRANSIT, FR
route-views.linx.routeviews.org 6830 195.66.224.89 874323 NL ripencc LIBERTYGLOBAL Liberty Global formerly UPC Broadband Holding, aka AORTA, NL
route-views.linx.routeviews.org 13237 195.66.224.99 877933 DE ripencc LAMBDANET-AS European Backbone of AS13237, DE
route-views.linx.routeviews.org 6667 195.66.224.114 877468 FI ripencc EUNET-FINLAND, FI
route-views.linx.routeviews.org 14537 195.66.224.118 877673 US arin CL-1379-14537, US
route-views.linx.routeviews.org 2914 195.66.224.138 874230 US arin NTT-LTD-2914, US
route-views.linx.routeviews.org 6762 195.66.224.153 163457 IT ripencc SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
route-views.linx.routeviews.org 16552 195.66.224.157 875889 US arin TIGGEE, US
route-views.linx.routeviews.org 38880 195.66.224.165 918854 AU apnic M21-AS-AP Micron21 Datacentre Pty Ltd, AU
route-views.linx.routeviews.org 3491 195.66.224.167 873870 US arin BTN-ASN, US
route-views.linx.routeviews.org 13030 195.66.224.175 877712 CH ripencc INIT7, CH
route-views.linx.routeviews.org 31500 195.66.224.215 1756 AG ripencc GLOBALNET-AS, AG
route-views.linx.routeviews.org 5459 195.66.224.254 0 GB ripencc LINX-AS London interconnection point, GB
route-views.linx.routeviews.org 34288 195.66.225.86 891649 CH ripencc AS34288 EDU-ZG-CH - Public Schools in the Canton of Zug, CH
route-views.linx.routeviews.org 35313 195.66.225.145 19 BH ripencc BH-INFONAS-ASN, BH
route-views.linx.routeviews.org 49544 195.66.225.146 222 NL ripencc I3DNET, NL
route-views.linx.routeviews.org 8674 195.66.225.151 4 SE ripencc NETNOD-IX Netnod Internet Exchange Sverige AB, SE
route-views.linx.routeviews.org 8674 195.66.225.152 2 SE ripencc NETNOD-IX Netnod Internet Exchange Sverige AB, SE
route-views.linx.routeviews.org 38182 195.66.225.178 192 MY apnic EXTREMEBB-AS-MY Extreme Broadband - Total Broadband Experience, MY
route-views.linx.routeviews.org 41811 195.66.225.196 875604 GB ripencc CONVERGENCE-GROUP, GB
route-views.linx.routeviews.org 47787 195.66.225.212 883508 PT ripencc EDGOO EDGOO NETWORKS, PT
route-views.linx.routeviews.org 14061 195.66.226.25 876394 US arin DIGITALOCEAN-ASN, US
route-views.linx.routeviews.org 59605 195.66.226.33 895273 BH ripencc ZAINGP-AS, BH
route-views.linx.routeviews.org 267613 195.66.226.39 901810 BR lacnic ELETRONET S.A., BR
route-views.linx.routeviews.org 41695 195.66.226.74 876830 GB ripencc VOSTRON-AS, GB
route-views.linx.routeviews.org 39122 195.66.226.97 876357 IE ripencc BLACKNIGHT-AS, IE
route-views.linx.routeviews.org 37271 195.66.226.102 876123 ZA afrinic Workonline, ZA
route-views.linx.routeviews.org 714 195.66.226.145 997 US arin APPLE-ENGINEERING, US
route-views.linx.routeviews.org 58511 195.66.226.214 886247 AU apnic ANYCAST-GLOBAL-BACKBONE Anycast Global Backbone, AU
route-views.linx.routeviews.org 58601 195.66.227.59 126 BD apnic AAMRA-ATL-BD Aamra technologies limited, BD
route-views.linx.routeviews.org 62955 195.66.227.75 21 US arin EBAYMTBB, US
route-views.linx.routeviews.org 8455 195.66.227.118 876376 NL ripencc ATOM86-AS ATOM86, NL
route-views.linx.routeviews.org 398465 195.66.227.122 232169 US arin RACKDOG-LLC, US
route-views.linx.routeviews.org 4775 195.66.227.151 309 PH apnic GLOBE-TELECOM-AS Globe Telecoms, PH
route-views.linx.routeviews.org 41805 195.66.227.196 875343 IQ ripencc IQ-SAWADLAND-AS, IQ
route-views.linx.routeviews.org 5413 195.66.236.29 876099 GB ripencc AS5413, GB
route-views.linx.routeviews.org 8426 195.66.236.66 178 GB ripencc CLARANET-AS ClaraNET LTD, GB
route-views.linx.routeviews.org 6667 195.66.236.114 877468 FI ripencc EUNET-FINLAND, FI
route-views.linx.routeviews.org 3491 195.66.236.167 873867 US arin BTN-ASN, US
route-views.linx.routeviews.org 13030 195.66.236.175 877716 CH ripencc INIT7, CH
route-views.linx.routeviews.org 5459 195.66.236.254 0 GB ripencc LINX-AS London interconnection point, GB
route-views.linx.routeviews.org 199524 195.66.237.19 875363 LU ripencc GCORE, LU
route-views.linx.routeviews.org 14061 195.66.238.25 876394 US arin DIGITALOCEAN-ASN, US
route-views.linx.routeviews.org 37271 195.66.238.102 876123 ZA afrinic Workonline, ZA
route-views.linx.routeviews.org 58511 195.66.238.214 886247 AU apnic ANYCAST-GLOBAL-BACKBONE Anycast Global Backbone, AU
route-views.linx.routeviews.org 62955 195.66.239.75 21 US arin EBAYMTBB, US
route-views.linx.routeviews.org 714 2001:7f8:4::2ca:1 165 US arin APPLE-ENGINEERING, US
route-views.linx.routeviews.org 2914 2001:7f8:4::b62:1 134560 US arin NTT-LTD-2914, US
route-views.linx.routeviews.org 3257 2001:7f8:4::cb9:1 134684 US ripencc GTT-BACKBONE GTT, US
route-views.linx.routeviews.org 3491 2001:7f8:4::da3:1 134710 US arin BTN-ASN, US
route-views.linx.routeviews.org 4775 2001:7f8:4::12a7:1 141 PH apnic GLOBE-TELECOM-AS Globe Telecoms, PH
route-views.linx.routeviews.org 5413 2001:7f8:4::1525:1 134717 GB ripencc AS5413, GB
route-views.linx.routeviews.org 5459 2001:7f8:4::1553:1 0 GB ripencc LINX-AS London interconnection point, GB
route-views.linx.routeviews.org 6667 2001:7f8:4::1a0b:1 136205 FI ripencc EUNET-FINLAND, FI
route-views.linx.routeviews.org 6762 2001:7f8:4::1a6a:1 24948 IT ripencc SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
route-views.linx.routeviews.org 6830 2001:7f8:4::1aae:4 134623 NL ripencc LIBERTYGLOBAL Liberty Global formerly UPC Broadband Holding, aka AORTA, NL
route-views.linx.routeviews.org 6939 2001:7f8:4::1b1b:1 137714 US arin HURRICANE, US
route-views.linx.routeviews.org 8426 2001:7f8:4::20ea:1 135779 GB ripencc CLARANET-AS ClaraNET LTD, GB
route-views.linx.routeviews.org 8455 2001:7f8:4::2107:1 135846 NL ripencc ATOM86-AS ATOM86, NL
route-views.linx.routeviews.org 8674 2001:7f8:4::21e2:1 4 SE ripencc NETNOD-IX Netnod Internet Exchange Sverige AB, SE
route-views.linx.routeviews.org 8674 2001:7f8:4::21e2:2 2 SE ripencc NETNOD-IX Netnod Internet Exchange Sverige AB, SE
route-views.linx.routeviews.org 13030 2001:7f8:4::32e6:1 136470 CH ripencc INIT7, CH
route-views.linx.routeviews.org 16552 2001:7f8:4::40a8:1 135263 US arin TIGGEE, US
route-views.linx.routeviews.org 34288 2001:7f8:4::85f0:1 141844 CH ripencc AS34288 EDU-ZG-CH - Public Schools in the Canton of Zug, CH
route-views.linx.routeviews.org 37271 2001:7f8:4::9197:1 135934 ZA afrinic Workonline, ZA
route-views.linx.routeviews.org 39122 2001:7f8:4::98d2:1 135825 IE ripencc BLACKNIGHT-AS, IE
route-views.linx.routeviews.org 41695 2001:7f8:4::a2df:1 35436 GB ripencc VOSTRON-AS, GB
route-views.linx.routeviews.org 41805 2001:7f8:4::a34d:1 66590 IQ ripencc IQ-SAWADLAND-AS, IQ
route-views.linx.routeviews.org 41811 2001:7f8:4::a353:1 1 GB ripencc CONVERGENCE-GROUP, GB
route-views.linx.routeviews.org 47787 2001:7f8:4::baab:1 136041 PT ripencc EDGOO EDGOO NETWORKS, PT
route-views.linx.routeviews.org 47957 2001:7f8:4::bb55:1 136635 FR ripencc ING-AS, FR
route-views.linx.routeviews.org 49544 2001:7f8:4::c188:1 51 NL ripencc I3DNET, NL
route-views.linx.routeviews.org 35313 2001:7f8:4::c8ce:1 15 BH ripencc BH-INFONAS-ASN, BH
route-views.linx.routeviews.org 58511 2001:7f8:4::e48f:1 137467 AU apnic ANYCAST-GLOBAL-BACKBONE Anycast Global Backbone, AU
route-views.linx.routeviews.org 59605 2001:7f8:4::e8d5:1 137522 BH ripencc ZAINGP-AS, BH
route-views.linx.routeviews.org 62955 2001:7f8:4::f5eb:1 2 US arin EBAYMTBB, US
route-views.linx.routeviews.org 267613 2001:7f8:4::4:155d:1 142681 BR lacnic ELETRONET S.A., BR
route-views.linx.routeviews.org 398465 2001:7f8:4::6:1481:1 139650 US arin RACKDOG-LLC, US
route-views.linx.routeviews.org 3491 2001:7f8:4:1::da3:1 134713 US arin BTN-ASN, US
route-views.linx.routeviews.org 5413 2001:7f8:4:1::1525:1 135490 GB ripencc AS5413, GB
route-views.linx.routeviews.org 5459 2001:7f8:4:1::1553:2 6 GB ripencc LINX-AS London interconnection point, GB
route-views.linx.routeviews.org 6667 2001:7f8:4:1::1a0b:1 136205 FI ripencc EUNET-FINLAND, FI
route-views.linx.routeviews.org 8426 2001:7f8:4:1::20ea:1 37 GB ripencc CLARANET-AS ClaraNET LTD, GB
route-views.linx.routeviews.org 13030 2001:7f8:4:1::32e6:1 136475 CH ripencc INIT7, CH
route-views.linx.routeviews.org 37271 2001:7f8:4:1::9197:1 135934 ZA afrinic Workonline, ZA
route-views.linx.routeviews.org 58511 2001:7f8:4:1::e48f:1 137467 AU apnic ANYCAST-GLOBAL-BACKBONE Anycast Global Backbone, AU
route-views.linx.routeviews.org 62955 2001:7f8:4:1::f5eb:1 2 US arin EBAYMTBB, US
route-views.linx.routeviews.org 199524 2001:7f8:4:1:0:3:b64:1 135054 LU ripencc GCORE, LU
route-views.mwix.routeviews.org 19782 206.53.139.23 0 US arin INDIANAGIGAPOP, US
route-views.mwix.routeviews.org 63293 206.53.139.29 1 US arin FACEBOOK-OFFNET, US
route-views.mwix.routeviews.org 19782 2001:504:45:f3e8::16 0 US arin INDIANAGIGAPOP, US
route-views.mwix.routeviews.org 63293 2001:504:45:f3e8::29 1 US arin FACEBOOK-OFFNET, US
route-views.napafrica.routeviews.org 49544 196.60.8.6 8 NL ripencc I3DNET, NL
route-views.napafrica.routeviews.org 327991 196.60.8.55 6 ZA afrinic MEGASURF-WIRELESS-INTERNET, ZA
route-views.napafrica.routeviews.org 37468 196.60.8.60 893300 AO afrinic ANGOLA-CABLES, AO
route-views.napafrica.routeviews.org 328512 196.60.8.113 913104 ZA afrinic Backspace-Technologies, ZA
route-views.napafrica.routeviews.org 3741 196.60.8.126 1873 ZA afrinic IS, ZA
route-views.napafrica.routeviews.org 32653 196.60.8.139 178457 ZA afrinic ENETWORKS, ZA
route-views.napafrica.routeviews.org 3491 196.60.8.152 871122 US arin BTN-ASN, US
route-views.napafrica.routeviews.org 327754 196.60.8.172 27 ZA afrinic RMS-Powertronics, ZA
route-views.napafrica.routeviews.org 37053 196.60.8.179 137 ZA afrinic RSAWEB-AS, ZA
route-views.napafrica.routeviews.org 37497 196.60.8.185 898119 ZA afrinic Network-Platforms, ZA
route-views.napafrica.routeviews.org 2018 196.60.8.216 451 ZA afrinic TENET-1, ZA
route-views.napafrica.routeviews.org 36968 196.60.8.219 28 ZA afrinic ECN-AS1, ZA
route-views.napafrica.routeviews.org 328137 196.60.9.37 171804 ZA afrinic Web-Squad-Connect-AS, ZA
route-views.napafrica.routeviews.org 15133 196.60.9.70 43 US arin EDGECAST, US
route-views.napafrica.routeviews.org 328266 196.60.9.124 876991 ZA afrinic Atomic-AS, ZA
route-views.napafrica.routeviews.org 32653 196.60.9.139 178457 ZA afrinic ENETWORKS, ZA
route-views.napafrica.routeviews.org 328320 196.60.9.155 171318 ZA afrinic Kurlec-AS, ZA
route-views.napafrica.routeviews.org 8674 196.60.9.160 5 SE ripencc NETNOD-IX Netnod Internet Exchange Sverige AB, SE
route-views.napafrica.routeviews.org 714 196.60.9.161 12 US arin APPLE-ENGINEERING, US
route-views.napafrica.routeviews.org 714 196.60.9.162 12 US arin APPLE-ENGINEERING, US
route-views.napafrica.routeviews.org 199524 196.60.9.188 879153 LU ripencc GCORE, LU
route-views.napafrica.routeviews.org 327991 196.60.10.48 6 ZA afrinic MEGASURF-WIRELESS-INTERNET, ZA
route-views.napafrica.routeviews.org 16552 196.60.10.62 878328 US arin TIGGEE, US
route-views.napafrica.routeviews.org 57351 196.60.10.174 1 GB ripencc HYPR, GB
route-views.napafrica.routeviews.org 25139 196.60.10.203 31 MZ ripencc TVCABO-AS, MZ
route-views.napafrica.routeviews.org 49544 2001:43f8:6d0::6 9 NL ripencc I3DNET, NL
route-views.napafrica.routeviews.org 36968 2001:43f8:6d0::c 1 ZA afrinic ECN-AS1, ZA
route-views.napafrica.routeviews.org 3491 2001:43f8:6d0::1b 134587 US arin BTN-ASN, US
route-views.napafrica.routeviews.org 327991 2001:43f8:6d0::55 1 ZA afrinic MEGASURF-WIRELESS-INTERNET, ZA
route-views.napafrica.routeviews.org 37468 2001:43f8:6d0::60 140877 AO afrinic ANGOLA-CABLES, AO
route-views.napafrica.routeviews.org 328512 2001:43f8:6d0::113 140234 ZA afrinic Backspace-Technologies, ZA
route-views.napafrica.routeviews.org 3741 2001:43f8:6d0::126 0 ZA afrinic IS, ZA
route-views.napafrica.routeviews.org 32653 2001:43f8:6d0::139 6 ZA afrinic ENETWORKS, ZA
route-views.napafrica.routeviews.org 327754 2001:43f8:6d0::172 4 ZA afrinic RMS-Powertronics, ZA
route-views.napafrica.routeviews.org 2018 2001:43f8:6d0::216 22 ZA afrinic TENET-1, ZA
route-views.napafrica.routeviews.org 328137 2001:43f8:6d0::9:37 137774 ZA afrinic Web-Squad-Connect-AS, ZA
route-views.napafrica.routeviews.org 328206 2001:43f8:6d0::9:66 137765 ZA afrinic JAWUG, ZA
route-views.napafrica.routeviews.org 15133 2001:43f8:6d0::9:70 19 US arin EDGECAST, US
route-views.napafrica.routeviews.org 328266 2001:43f8:6d0::9:124 22484 ZA afrinic Atomic-AS, ZA
route-views.napafrica.routeviews.org 32653 2001:43f8:6d0::9:139 6 ZA afrinic ENETWORKS, ZA
route-views.napafrica.routeviews.org 8674 2001:43f8:6d0::9:160 4 SE ripencc NETNOD-IX Netnod Internet Exchange Sverige AB, SE
route-views.napafrica.routeviews.org 714 2001:43f8:6d0::9:161 8 US arin APPLE-ENGINEERING, US
route-views.napafrica.routeviews.org 714 2001:43f8:6d0::9:162 8 US arin APPLE-ENGINEERING, US
route-views.napafrica.routeviews.org 199524 2001:43f8:6d0::9:188 140573 LU ripencc GCORE, LU
route-views.napafrica.routeviews.org 327991 2001:43f8:6d0::10:48 1 ZA afrinic MEGASURF-WIRELESS-INTERNET, ZA
route-views.napafrica.routeviews.org 16552 2001:43f8:6d0::10:62 136201 US arin TIGGEE, US
route-views.napafrica.routeviews.org 57351 2001:43f8:6d0::10:174 1 GB ripencc HYPR, GB
route-views.nwax.routeviews.org 1798 198.32.195.23 885191 US arin OREGON, US
route-views.nwax.routeviews.org 6423 198.32.195.30 874604 US arin DF-BVR01, US
route-views.nwax.routeviews.org 32869 198.32.195.32 61 US arin SILVERSTAR-NET, US
route-views.nwax.routeviews.org 2044 198.32.195.35 30 US arin DF-PTL01, US
route-views.nwax.routeviews.org 32261 198.32.195.85 7 US arin SUBSPACE, US
route-views.nwax.routeviews.org 1798 2620:124:2000::23 142563 US arin OREGON, US
route-views.nwax.routeviews.org 32261 2620:124:2000::85 5 US arin SUBSPACE, US
route-views.perth.routeviews.org 7606 198.32.212.1 103020 AU apnic WAIA-AP Western Australian Internet Association, AU
route-views.perth.routeviews.org 58511 198.32.212.5 886247 AU apnic ANYCAST-GLOBAL-BACKBONE Anycast Global Backbone, AU
route-views.perth.routeviews.org 7606 198.32.212.254 102977 AU apnic WAIA-AP Western Australian Internet Association, AU
route-views.perth.routeviews.org 58511 218.100.52.56 886247 AU apnic ANYCAST-GLOBAL-BACKBONE Anycast Global Backbone, AU
route-views.perth.routeviews.org 49544 218.100.52.60 7 NL ripencc I3DNET, NL
route-views.perth.routeviews.org 62955 218.100.52.160 22 US arin EBAYMTBB, US
route-views.perth.routeviews.org 9268 218.100.54.39 229952 AU apnic OVERTHEWIRE-AS-AP Over The Wire Pty Ltd, AU
route-views.perth.routeviews.org 58511 218.100.54.54 886236 AU apnic ANYCAST-GLOBAL-BACKBONE Anycast Global Backbone, AU
route-views.perth.routeviews.org 9268 218.100.76.8 888665 AU apnic OVERTHEWIRE-AS-AP Over The Wire Pty Ltd, AU
route-views.perth.routeviews.org 58511 218.100.76.10 886247 AU apnic ANYCAST-GLOBAL-BACKBONE Anycast Global Backbone, AU
route-views.perth.routeviews.org 140627 218.100.76.17 899155 AU apnic ONEQODEASSETS-AS-AP OneQode Gaming Carrier, AU
route-views.perth.routeviews.org 58511 218.100.76.47 886247 AU apnic ANYCAST-GLOBAL-BACKBONE Anycast Global Backbone, AU
route-views.perth.routeviews.org 136557 218.100.76.80 874534 AU apnic HOST-AS-AP Host Universal Pty Ltd, AU
route-views.perth.routeviews.org 58511 218.100.78.35 886247 AU apnic ANYCAST-GLOBAL-BACKBONE Anycast Global Backbone, AU
route-views.perth.routeviews.org 62955 218.100.78.125 21 US arin EBAYMTBB, US
route-views.perth.routeviews.org 7606 2001:7fa:11::1db6:0:1 48408 AU apnic WAIA-AP Western Australian Internet Association, AU
route-views.perth.routeviews.org 58511 2001:7fa:11::e48f:0:1 137470 AU apnic ANYCAST-GLOBAL-BACKBONE Anycast Global Backbone, AU
route-views.perth.routeviews.org 58511 2001:7fa:11:1:0:e48f:0:1 137467 AU apnic ANYCAST-GLOBAL-BACKBONE Anycast Global Backbone, AU
route-views.perth.routeviews.org 62955 2001:7fa:11:1:0:f5eb:0:1 2 US arin EBAYMTBB, US
route-views.perth.routeviews.org 9268 2001:7fa:11:2:0:2434:0:1 138293 AU apnic OVERTHEWIRE-AS-AP Over The Wire Pty Ltd, AU
route-views.perth.routeviews.org 58511 2001:7fa:11:2:0:e48f:0:1 137467 AU apnic ANYCAST-GLOBAL-BACKBONE Anycast Global Backbone, AU
route-views.perth.routeviews.org 58511 2001:7fa:11:2:0:e48f:0:2 137467 AU apnic ANYCAST-GLOBAL-BACKBONE Anycast Global Backbone, AU
route-views.perth.routeviews.org 136557 2001:7fa:11:2:2:156d:0:1 137866 AU apnic HOST-AS-AP Host Universal Pty Ltd, AU
route-views.perth.routeviews.org 9268 2001:7fa:11:3:0:2434:0:1 138208 AU apnic OVERTHEWIRE-AS-AP Over The Wire Pty Ltd, AU
route-views.perth.routeviews.org 58511 2001:7fa:11:3:0:e48f:0:1 137454 AU apnic ANYCAST-GLOBAL-BACKBONE Anycast Global Backbone, AU
route-views.perth.routeviews.org 49544 2001:7fa:11:4:0:c188:0:1 1 NL ripencc I3DNET, NL
route-views.perth.routeviews.org 58511 2001:7fa:11:4:0:e48f:0:1 137467 AU apnic ANYCAST-GLOBAL-BACKBONE Anycast Global Backbone, AU
route-views.perth.routeviews.org 62955 2001:7fa:11:4:0:f5eb:0:1 2 US arin EBAYMTBB, US
route-views.phoix.routeviews.org 135423 198.32.172.125 6 PH apnic TIM-GNS-AS-AP Total Information Management Corporation, PH
route-views.phoix.routeviews.org 137818 198.32.172.129 2 PH apnic PANTELCO-AS-AP Panay Telephone Corporation, PH
route-views.rio.routeviews.org 267613 45.6.52.62 901810 BR lacnic ELETRONET S.A., BR
route-views.rio.routeviews.org 52320 45.6.52.193 888920 CO lacnic GlobeNet Cabos Submarinos Colombia, S.A.S., CO
route-views.rio.routeviews.org 268207 45.6.53.103 8 BR lacnic RVT SERVICOS DE TELECOMUNICACOES LTDA, BR
route-views.rio.routeviews.org 52720 45.6.53.106 904228 BR lacnic WEBFOCO TELECOMUNICACOES LTDA, BR
route-views.rio.routeviews.org 264479 45.6.53.167 897028 BR lacnic Turbozone Internet, BR
route-views.rio.routeviews.org 268430 45.6.53.210 900848 BR lacnic L&R Solucoes em Telecomunicacoes e Servicos Ltda, BR
route-views.rio.routeviews.org 7195 45.6.53.236 3782 CO lacnic EDGEUNO SAS, CO
route-views.rio.routeviews.org 199524 45.6.54.171 879925 LU ripencc GCORE, LU
route-views.rio.routeviews.org 267613 2001:12f8:0:2::62 142648 BR lacnic ELETRONET S.A., BR
route-views.rio.routeviews.org 263009 2001:12f8:0:2::186 126866 BR lacnic FORTE TELECOM LTDA., BR
route-views.rio.routeviews.org 52320 2001:12f8:0:2::193 139654 CO lacnic GlobeNet Cabos Submarinos Colombia, S.A.S., CO
route-views.rio.routeviews.org 268207 2001:12f8:0:2::53:103 2 BR lacnic RVT SERVICOS DE TELECOMUNICACOES LTDA, BR
route-views.rio.routeviews.org 52720 2001:12f8:0:2::53:106 152161 BR lacnic WEBFOCO TELECOMUNICACOES LTDA, BR
route-views.rio.routeviews.org 264479 2001:12f8:0:2::53:167 70489 BR lacnic Turbozone Internet, BR
route-views.rio.routeviews.org 268430 2001:12f8:0:2::53:210 0 BR lacnic L&R Solucoes em Telecomunicacoes e Servicos Ltda, BR
route-views.rio.routeviews.org 7195 2001:12f8:0:2::53:236 1812 CO lacnic EDGEUNO SAS, CO
route-views.rio.routeviews.org 199524 2001:12f8:0:2::54:171 137103 LU ripencc GCORE, LU
route-views.routeviews.org 3356 4.68.4.46 872728 US arin LEVEL3, US
route-views.routeviews.org 7018 12.0.1.63 873719 US arin ATT-INTERNET4, US
route-views.routeviews.org 57866 37.139.139.17 875113 NL ripencc FUSIX-AS, NL
route-views.routeviews.org 6939 64.71.137.241 902829 US arin HURRICANE, US
route-views.routeviews.org 3257 89.149.178.10 873978 US ripencc GTT-BACKBONE GTT, US
route-views.routeviews.org 49788 91.218.184.60 877962 NO ripencc NEXTHOP, NO
route-views.routeviews.org 8283 94.142.247.3 879171 NL ripencc COLOCLUE-AS Netwerkvereniging Coloclue, Amsterdam, Netherlands, NL
route-views.routeviews.org 1351 132.198.255.253 914300 US arin UVM-EDU-AS, US
route-views.routeviews.org 701 137.39.3.55 874630 US arin UUNET, US
route-views.routeviews.org 20130 140.192.8.16 905140 US arin DEPAUL, US
route-views.routeviews.org 1239 144.228.241.130 56762 US arin SPRINTLINK, US
route-views.routeviews.org 852 154.11.12.212 875161 CA arin TELUS Communications, CA
route-views.routeviews.org 4901 162.250.137.254 878018 US arin CAAREN, US
route-views.routeviews.org 53767 162.251.163.2 872826 US arin ICASTCENTER, US
route-views.routeviews.org 3333 193.0.0.56 887796 NL ripencc RIPE-NCC-AS Reseaux IP Europeens Network Coordination Centre RIPE NCC, NL
route-views.routeviews.org 3267 194.85.40.15 882724 RU ripencc RUNNET, RU
route-views.routeviews.org 20080 198.32.252.33 19347 US arin AMPATH, US
route-views.routeviews.org 24441 202.93.8.242 4353 KH apnic CITYLINK-AS-KH CityLink Corporation, LTD, KH
route-views.routeviews.org 2497 202.232.0.2 888149 JP apnic IIJ Internet Initiative Japan Inc., JP
route-views.routeviews.org 1221 203.62.252.83 881519 AU apnic ASN-TELSTRA Telstra Corporation Ltd, AU
route-views.routeviews.org 7660 203.181.248.168 721376 JP apnic APAN-JP Asia Pacific Advanced Network - Japan, JP
route-views.routeviews.org 3561 206.24.210.80 872838 US arin CENTURYLINK-LEGACY-SAVVIS, US
route-views.routeviews.org 3549 208.51.134.254 874088 US arin LVLT-3549, US
route-views.routeviews.org 19214 208.74.64.40 356561 US arin CENTAURI-COMMUNICATIONS-COM, US
route-views.routeviews.org 101 209.124.176.223 877700 US arin WASH-NSF-AS, US
route-views.routeviews.org 20912 212.66.96.126 877693 IT ripencc ASN-PANSERVICE, IT
route-views.routeviews.org 3303 217.192.89.50 900797 CH ripencc SWISSCOM Swisscom Switzerland Ltd, CH
route-views.routeviews.org 7575 2001:388:1::16 2491 AU apnic AARNET-AS-AP Australian Academic and Research Network AARNet, AU
route-views.routeviews.org 3303 2001:918:0:5::1 141989 CH ripencc SWISSCOM Swisscom Switzerland Ltd, CH
route-views.routeviews.org 101 2001:1860::223 136717 US arin WASH-NSF-AS, US
route-views.routeviews.org 20912 2001:40D0::126 140615 IT ripencc ASN-PANSERVICE, IT
route-views.routeviews.org 24441 2404:CC00:1::1 132721 KH apnic CITYLINK-AS-KH CityLink Corporation, LTD, KH
route-views.routeviews.org 701 2600:803::15 135398 US arin UUNET, US
route-views.routeviews.org 53767 2605:9D00::2 4 US arin ICASTCENTER, US
route-views.routeviews.org 49788 2A02:D140:1::60 140380 NO ripencc NEXTHOP, NO
route-views.saopaulo.routeviews.org 28571 187.16.216.20 899328 BR lacnic UNIVERSIDADE DE SAO PAULO, BR
route-views.saopaulo.routeviews.org 14026 187.16.216.56 2 BR lacnic Nucleo de Inf. e Coord. do Ponto BR - NIC., BR
route-views.saopaulo.routeviews.org 28589 187.16.216.228 17 BR lacnic Convex Internet Solutions, BR
route-views.saopaulo.routeviews.org 28329 187.16.216.232 887546 BR lacnic G8 NETWORKS LTDA, BR
route-views.saopaulo.routeviews.org 26162 187.16.216.254 169729 BR lacnic Nucleo de Inf. e Coord. do Ponto BR - NIC., BR
route-views.saopaulo.routeviews.org 28329 187.16.217.27 2892 BR lacnic G8 NETWORKS LTDA, BR
route-views.saopaulo.routeviews.org 53013 187.16.217.113 875958 BR lacnic W I X NET DO BRASIL LTDA - ME, BR
route-views.saopaulo.routeviews.org 263047 187.16.217.197 35775 BR lacnic Speednet Provedor de Acesso a Internet Ltda, BR
route-views.saopaulo.routeviews.org 52888 187.16.218.21 5 BR lacnic UNIVERSIDADE FEDERAL DE SAO CARLOS, BR
route-views.saopaulo.routeviews.org 53237 187.16.218.52 207 BR lacnic TELECOMUNICACOES BRASILEIRAS S. A. - TELEBRAS, BR
route-views.saopaulo.routeviews.org 53013 187.16.218.235 872684 BR lacnic W I X NET DO BRASIL LTDA - ME, BR
